,title,director ,writer,actors,gener,language,runtime,average,votes,link
0,我的青春恋爱物语果然有问题 第二季 OVA やはり俺の青春ラブコメはまちがっている。続 OVA,岩崎光洋,['大知慶一郎'],"['江口拓也', '早见沙织', '东山奈央', '佐仓绫音', '工藤雅久']","['爱情', '动画']", 日语,2016-10-27(日本),9.1,4391,https://movie.douban.com/subject/26862240/
1,机遇之歌 Przypadek,克日什托夫·基耶斯洛夫斯基,['克日什托夫·基耶斯洛夫斯基'],"['博古斯瓦夫·林达', '塔德乌什·罗姆尼斯基', '比涅尤·扎塔西奇斯', '伯格斯拉娃·帕韦莱茨', '马尔泽娜·泰巴拉', '亚切克·博尔科夫斯基', '亚切克·萨斯-乌赫里诺夫斯基', '亚当·费仁希', '莫妮卡·戈兹克', '齐格蒙特·哈布纳', '伊雷娜·比尔斯卡']",['剧情'], 波兰语,1987-01-10(波兰),8.6,10296,https://movie.douban.com/subject/1307200/
2,另一个故乡 Die andere Heimat - Chronik einer Sehnsucht,爱德嘉·莱兹,"['爱德嘉·莱兹', '葛特·海登赖赫']","['扬·迪特尔·施耐德', '安东尼娅·比尔', '麦斯米兰·沙伊特', '玛丽塔·布劳耶', '吕迪格·克里泽', '费丽娜·莱拜克', '梅拉妮·富歇', '伊娃·塞德勒', '莱因哈德·保卢斯', '芭芭拉·菲利普', '克里斯托弗·卢泽', '赖纳·库恩', '安德里亚斯·库尔策', '杰罗恩·佩瑟瓦尔', '沃纳·赫尔佐格']","['剧情', '历史']", 德语,2013-08-29(威尼斯电影节),8.6,8390,https://movie.douban.com/subject/22265121/
3,花落花开 Séraphine,马丁·波渥斯,"['Marc Abdelnour', '马丁·波渥斯']","['友兰达·梦露', '乌尔里希·图库尔', '安妮·贝南特', '杰纳维夫·马尼奇', '阿德莱德·勒鲁', '尼克·罗格勒', '弗朗索瓦兹·勒布伦', '塞尔日·拉里维埃尔']","['剧情', '传记', '战争']", 法语 / 德语,2008-09-07,8.5,18757,https://movie.douban.com/subject/3173635/
4,空之境界 终章 空之境界 劇場版 空の境界 終章 空の境界,近藤光,['平松正树'],"['坂本真绫', '铃村健一']",['动画'], 日语,2010-12-18(日本),8.5,11006,https://movie.douban.com/subject/5296286/
5,白色严冬 Into the White,彼特·纳斯,"['Ole Meldgaard', 'Dave Mango', '彼特·纳斯']","['弗洛里安·卢卡斯', '大卫·克劳斯', '斯蒂格·亨里克·霍夫', '拉克兰·尼布尔', '鲁伯特·格林特', 'Kim Haugen', 'Knut Joner', 'Morten Faldaas', 'Sondre Krogtoft Larsen']","['剧情', '历史', '战争']", 英语 / 挪威语 / 德语,2012-03-09(挪威),8.4,19501,https://movie.douban.com/subject/6129462/
6,无语问苍天 Awakenings,潘妮·马歇尔,"['斯蒂文·泽里安', '奥利弗·萨克斯']","['罗伯特·德尼罗', '罗宾·威廉姆斯', '朱莉·卡夫娜', '鲁思·尼尔森', '约翰·赫德', '佩内洛普·安·米勒', '爱丽丝·德拉蒙德', '朱迪丝·马利纳', '巴顿·海曼', '乔治·马丁', '安妮·米拉', '理查德·利伯蒂尼', '劳拉·伊斯特曼', '德克斯特·戈登', '杰恩·海恩斯', '勒克朗谢·迪兰德', '尤瑟夫·布罗斯', '史蒂文·兰达佐', 'Gloria Harper', 'Gwyllum Evans', '玛丽·凯瑟琳·莱特', '玛丽·爱丽丝', '凯斯·戴蒙德', '史蒂夫·维诺维奇', 'Tiger Haynes', 'John Christopher Jones', '布莱德利·惠特福德', '马克斯·冯·叙多夫', '哈维-米勒', 'Tanya Berezin', '彼得·斯特曼', '查尔斯·基廷', 'Christina Huertes', 'Gary Tacon', 'Mel Gorham', 'Anthony J. Nici']","['剧情', '传记']", 英语,1990-12-12(世纪城首映),8.4,10085,https://movie.douban.com/subject/1296805/
7,伊莉莎与玛瑟拉 Elisa y Marcela,伊莎贝尔·科赛特,"['伊莎贝尔·科赛特', '纳西索·德·加布里埃尔']","['纳塔利娅·德·莫利纳', '格蕾塔·费尔南德斯', '莎拉·卡萨斯诺瓦斯', '塔马·诺瓦斯', '路易斯·奥马', '曼诺罗·索洛', '玛丽亚·皮雅尔特', '弗兰塞斯克·奥雷利亚', '曼努埃尔·卢伦佐', '豪尔赫·苏克特', '安帕罗·莫雷诺', '雷蒙·德·伊斯班纳']","['爱情', '同性', '传记']", 西班牙语 / 葡萄牙语,2019-02-13(柏林电影节),8.4,6539,https://movie.douban.com/subject/30251948/
8,哈姆雷特 National Theatre Live: Hamlet,罗宾·洛,['威廉·莎士比亚'],"['本尼迪克特·康伯巴奇', '珊·布鲁克', '里奥·比尔', '塞伦·希德', '吉姆·诺顿', '卡尔·约翰逊', '寇布勒·霍尔德布鲁克-史密斯', '马修·斯蒂尔', '迪雯·亨利', '巴里·艾尔德', '鲁阿里·科纳汉', '鲁迪·达马林加姆', '莫拉格·席勒', '谢尔戈·瓦雷斯', '科林·黑格']",['剧情'], 英语,2015-10-15(英国),8.4,6733,https://movie.douban.com/subject/26588017/
9,小戏骨：白蛇传,潘礼平,['刘玉洁'],"['陶奕希', '周芷莹', '刘戴恩', '钟奕儿', '陈禹衡', '李俊豪', '李欣怡', '罗自豪', '李平波', '喻峰', '彭楚雅', '胡轶珂', '陈荣达', '姚雯嘉']","['剧情', '儿童', '古装']", 汉语普通话,2016-10-02(中国大陆),8.3,15964,https://movie.douban.com/subject/26887890/
10,有你我不怕 Io non ho paura,加布里埃莱·萨尔瓦托雷斯,"['尼科洛·阿马尼蒂', '弗朗西斯卡·马西亚诺']","['Giuseppe Cristiano', 'Mattia Di Pierro', 'Diego Abvatantuono', 'Dino Abbrescia']","['剧情', '悬疑', '惊悚', '犯罪']", 意大利语,2003-03-14(意大利),8.2,8119,https://movie.douban.com/subject/1421570/
11,蓝调传奇 Cadillac Records,达内尔·马丁,['达内尔·马丁'],"['艾德里安·布洛迪', '杰弗里·怀特', '碧昂丝', '茅斯·达夫', '加布里埃尔·尤尼恩']","['剧情', '音乐', '传记']", 英语,2008-12-05,8.1,14798,https://movie.douban.com/subject/3005365/
12,弟弟 おとうと,山田洋次,"['平松惠美子', '山田洋次']","['苍井优', '加濑亮', '石田百合子', '吉永小百合', '小日向文世', '近藤公园', '笹野高史', '木村绿子', '加藤治子', '小林稔侍', '笑福亭鹤瓶', '中居正广', '森本治行', '佐藤蛾次郎', '横山孝信', '茅岛成美', '拉沙尔石井']",['剧情'], 日语,2010-01-30(日本),8.1,10975,https://movie.douban.com/subject/3395437/
13,木头美人 Mannequin: On the Move,斯图尔特·拉菲尔,"['Edward Rugoff', 'David Isaacs']","['克里斯蒂·斯旺森', '威廉·罗格斯戴尔', '米萨克·泰勒', '特利·奇瑟', '斯图尔特·潘金']","['喜剧', '爱情', '奇幻']", 英语,1991-05-17,8.1,8189,https://movie.douban.com/subject/1303340/
14,55步 55 Steps,比利·奥古斯特,['马克·布鲁斯·罗森'],"['海伦娜·伯翰·卡特', '希拉里·斯万克', '杰弗里·塔伯', '约翰·海尔登贝格', '蒂姆· 普莱斯特', '迈克尔·卡尔金', '乔纳森·克里根', '理查德·莱恩', '理查德·瑞德尔']","['剧情', '传记']", 英语,2017-09-07(多伦多电影节),8.1,1674,https://movie.douban.com/subject/26371229/
15,八月：奥色治郡 August: Osage County,约翰·威尔斯,['崔西·莱茨'],"['朱莉娅·罗伯茨', '梅丽尔·斯特里普', '伊万·麦克格雷格', '克里斯·库珀', '阿比盖尔·布雷斯林', '本尼迪克特·康伯巴奇', '朱丽叶特·刘易斯', '玛格·马丁戴尔', '德蒙特·莫罗尼', '朱丽安妮·尼科尔森', '山姆·夏普德', '米丝蒂·阿哈姆']","['剧情', '家庭']", 英语,2013-12-27(美国),8.0,37535,https://movie.douban.com/subject/3284397/
16,睁开你的双眼 Abre los ojos,亚历杭德罗·阿梅纳瓦尔,"['亚历杭德罗·阿梅纳瓦尔', '马特奥·希尔']","['爱德华多·诺列加', '佩内洛普·克鲁兹', '费雷·马丁内兹', '纳瓦·尼姆利', '切特·雷拉']","['剧情', '爱情', '科幻', '悬疑', '惊悚']", 西班牙语,1997-12-19(西班牙),8.0,17417,https://movie.douban.com/subject/1301899/
17,天涯海角,李志毅,['李志毅'],"['金城武', '陈慧琳', '王敏德', '陈小春', '何超仪', '陈豪', '陈德森', '张达明', '玛利亚', '方平', '徐濠萦']","['剧情', '爱情']", 粤语,1996-10-18(中国香港),8.0,10235,https://movie.douban.com/subject/1307724/
18,探员卡特 Marvel One-Shot: Agent Carter,Louis D'Esposito,"['埃里克·皮尔森', '杰克·科比', '斯坦·李']","['海莉·阿特维尔', '沙恩·布莱克', '多米尼克·库珀', 'Jacob McCafferty', '尼尔·麦克唐纳', '布莱德利·惠特福德', '提姆·特罗北克', 'Jon Barinholtz', '安东尼·莫利纳利', 'Greg Haines', '提姆·席特尔兹']","['动作', '科幻', '冒险']", 英语,2013-08-20,7.9,10659,https://movie.douban.com/subject/25662063/
19,哆啦A梦：新·大雄的宇宙开拓史 映画ドラえもん 新・のび太の宇宙開拓史,腰繁男,"['真保裕一', '藤子·F·不二雄']","['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一', '三石琴乃', '松本保典', '藤本千秋', '荻野志保子', '竹内都子', '樱井智', '佐久间玲', '威尔逊·绫香 ', '渡边菜生子', '堀江由衣', '大塚明夫', '大川透', '涉谷茂', '高户靖广', '堀内贤雄', '佐藤正治', '茶风林', '峰敦子', '后藤史彦', '丸田麻里', '德井义实', '福田充德', '若田光一', '香里奈']","['动画', '冒险']", 日语,2009-03-07(日本),7.9,7694,https://movie.douban.com/subject/3154822/
0,偷偷爱你 偷偷愛你,谭朗昌,['王晶'],"['梁朝伟', '邱淑贞', '葛民辉', '刘锦玲', '乔宏', '邓兆尊', '文隽', '鲁芬']","['剧情', '喜剧', '爱情']", 粤语,1996-01-04(中国香港),7.8,18901,https://movie.douban.com/subject/1303482/
1,水中生活 The Life Aquatic with Steve Zissou,韦斯·安德森,"['韦斯·安德森', '诺亚·鲍姆巴赫']","['比尔·默瑞', '欧文·威尔逊', '凯特·布兰切特', '安杰丽卡·休斯顿', '威廉·达福', '迈克尔·刚本', '杰夫·高布伦']","['剧情', '喜剧', '冒险']", 英语 / 冰岛语 / 菲律宾语 / 葡萄牙语 / 法语 / 塔加路族语 / 德语 / 意大利语,2004-12-25(美国),7.8,17779,https://movie.douban.com/subject/1308976/
2,杨门女将之穆桂英挂帅,卫翰韬,"['郑怀兴', '郑宜庸', '王莉芝']","['连凯', '李若彤', '郑佩佩', '宁静']","['剧情', '历史', '武侠', '古装']", 汉语普通话,2001(中国大陆),7.8,2741,https://movie.douban.com/subject/19965273/
3,你好，陌生人 กวน มึน โฮ,班庄·比辛达拿刚,"['班庄·比辛达拿刚', '辰塔维·塔纳西维', '侬特拉·孔旺']","['辰塔维·塔纳西维', '能提妲·索彭', '瓦拉塔雅·宁枯哈']","['喜剧', '爱情']", 泰语 / 韩语,2010-08-19(泰国),7.7,73148,https://movie.douban.com/subject/4903613/
4,舞出我人生3 Step Up 3D,朱浩伟,"['Amy Andelson', 'Emily Meyer']","['瑞奇·马兰博瑞', '亚当·G·瑟瓦尼', '沙妮·文森', '艾莉森·斯通勒', 'Keith Stallworth', '史蒂芬·布斯', '乔· 斯拉夫特', '丹尼尔·克劳德·坎波斯']","['剧情', '爱情', '音乐']", 英语,2010-08-06,7.7,28782,https://movie.douban.com/subject/3000078/
5,非强力春药 Mighty Aphrodite,伍迪·艾伦,['伍迪·艾伦'],"['伍迪·艾伦', '米拉·索维诺', '海伦娜·伯翰·卡特', '奥林匹娅·杜卡基斯']","['喜剧', '爱情', '奇幻']", 英语,1995-09-01(威尼斯电影节),7.7,14575,https://movie.douban.com/subject/1296925/
6,四角关系 Imagine Me & You,欧·帕克,['欧·帕克'],"['派珀·佩拉博', '琳娜·海蒂', '马修·古迪', '西莉亚·伊姆里', '安东尼·海德', '达伦·博伊德', '苏·乔斯顿', '布· 杰克森', '莎朗·豪根', '伊娃·柏西斯托', '雯叶特·罗宾逊', '本·迈尔斯', '约翰·汤普森', 'Mona Hammond', '里克·沃登', '安琪儿·库碧']","['剧情', '喜剧', '爱情', '同性']", 英语,2005-05-25(德国),7.6,27600,https://movie.douban.com/subject/1473297/
7,隐藏摄像机 Caché,迈克尔·哈内克,['迈克尔·哈内克'],"['丹尼尔·奥特伊', '朱丽叶·比诺什', 'Maurice Bénichou', '安妮·吉拉尔多']","['剧情', '悬疑', '惊悚']", 法语,2005-05-14(戛纳电影节),7.6,12933,https://movie.douban.com/subject/1438066/
8,贝拉的奇幻花园 This Beautiful Fantastic,西蒙·阿布德,['西蒙·阿布德'],"['杰西卡·布朗·芬德利', '安德鲁·斯科特', '杰瑞米·艾文', '汤姆·威尔金森', '安娜·钱斯勒', '谢拉·汉考克', '夏洛特·阿斯特里', '伊莲恩·戴维斯', '洛拉·苏尔坦', '保罗·布莱克维尔', '蒂娅·申顿', '米娅·法卡索夫斯佳', '克莱尔·阿什顿']","['剧情', '喜剧', '爱情']", 英语 / 盖尔语,2016-10-20(斯洛文尼亚),7.5,11037,https://movie.douban.com/subject/26611806/
9,好莱坞式结局 Hollywood Ending,伍迪·艾伦,['伍迪·艾伦'],"['蒂娅·里欧妮', '乔治·汉密尔顿', '伍迪·艾伦', '黛博拉·梅辛']","['喜剧', '爱情']", 英语,2002-05-03(美国),7.5,10750,https://movie.douban.com/subject/1305509/
10,风月奇谭 風月奇譚,李翰祥,['李翰祥'],"['王琛', '刘午琪', '贝蒂', '田青', '夏雯', '林玑', '王侠', '姜南', '李允中', '刘丹', '欧阳莎菲', '井淼', '王莱', '卢苇', '王憾尘', '李昆', '江玲', '林伟图', '宗华', '张照', '张石庵', '陈濠', '张作舟', '钱似莺', '金军', '金天柱', '朱由高', '冯敬文', '郝履仁', '黄公武', '葛萍', '李文洲', '李文泰', '吕红', '白妤', '西瓜刨', '司马华龙', '曾楚霖', '王国辉', '王月汀']","['喜剧', '情色']", 汉语普通话,1972-11-16(中国香港),7.5,5510,https://movie.douban.com/subject/1302036/
11,单亲度假村 Blended,弗兰克·克拉斯,"['伊万·文谢尔', '克莱尔·塞拉']","['亚当·桑德勒', '德鲁·巴里摩尔', '凯文·尼龙', '泰瑞·克鲁斯', '温迪·麦丽登·康薇', '艾玛·福尔曼', '贝拉·索恩', '布拉克斯顿·贝克汉姆', '阿利维亚·阿林·林德', '乔尔·麦克哈尔', '阿卜杜拉耶·恩戈姆', '凯尔·西尔弗斯坦', '扎克·亨利', '杰西卡·洛威', '沙奎尔·奥尼尔']","['喜剧', '爱情']", 英语,2014-05-23(美国),7.4,19811,https://movie.douban.com/subject/24325798/
12,龙珠Z：神与神 ドラゴンボールZ 神と神,细田雅弘,['渡边雄介'],"['野泽雅子', '鹤广美', '堀川亮', '佐藤正治', '田中真弓', '古川登志夫', '古谷彻', '绿川光', '草尾毅', '皆口裕子', '渡边菜生子', '大友龙三郎', '石冢运升', '龙田直树', '盐屋浩三', '伊藤美纪', '千叶繁', '玄田哲章', '山田荣子', '藤本隆弘', '川浪叶子', '平野绫', '八奈见乘儿', '田中亮一', '三矢雄二', '内海贤二', '轻部真一', '松本薰', '中川翔子', '赤羽根健治', '服卷浩司', '增谷康纪', '福原耕平', '藤井雪代', '照井春佳', '一木千洋', '一之濑彩', '大空直美', '森田成一', '山寺宏一']",['动画'], 日语,2013-10-25(中国台湾),7.3,13569,https://movie.douban.com/subject/11503382/
13,信使 The Courier,多米尼克·库克,['汤姆·奥康纳'],"['本尼迪克特·康伯巴奇', '瑞秋·布罗斯纳安', '梅拉布·尼尼泽', '玛丽亚·米罗诺娃', '安东·莱瑟', '安格斯·瑞特', '大卫·巴克·琼斯', '米尔斯·理查森', '杰西·巴克利', '基里尔·皮罗戈夫', 'Yuri Klimov ', '马里安·洛伦西克', '艾丽丝·奥尔尤因', '乔纳森·哈登', '伊莲娜·艾尔米纳斯', '阿勒斯·比利克', '安德烈·库尔加诺夫', '奥德·马利', '贝恩·科拉科', '迪诺·布加迪', 'Emma Penzina', 'Fred Haig', 'Charles Walters', 'James Schofield', 'Keir Hills', 'Vladimir Chuprikov']",['惊悚'], 英语,2020-01-24(圣丹斯电影节),7.3,12560,https://movie.douban.com/subject/30212001/
14,丛林大反攻 Open Season,罗杰·阿勒斯,"['Steve Moore', 'John B. Carls', 'Jill Culton', 'Anthony Stacchi', 'Steve Bencich', 'Ron J. Friedman', 'Nat Mauldin', 'Sam Harper', 'David Gilbreth', 'Dan Wilson']","['马丁·劳伦斯', '阿什顿·库彻', '乔恩·费儒']","['喜剧', '动画', '家庭', '冒险']", 英语,2006-09-29(美国/中国大陆),7.2,25792,https://movie.douban.com/subject/1428178/
15,已是香港明日 Already Tomorrow in Hong Kong,丁怡瑱,['丁怡瑱'],"['郑智麟', '布莱恩·格林伯格', '吴耀汉', '李美思', '梁普智', '哈利·杜·杨', '丁怡瑱']","['喜剧', '爱情']", 英语,2016-03-08(中国香港),7.2,9848,https://movie.douban.com/subject/26245039/
16,再世追魂,梁小熊,"['谷德昭', '张倩华']","['吕良伟', '郑则仕', '黄光亮', '刘瑞琪', '田启文']","['惊悚', '恐怖', '犯罪']", 粤语,1993-06-24(中国香港),7.2,5777,https://movie.douban.com/subject/1479872/
17,蔚蓝深海 The Deep Blue Sea,特伦斯·戴维斯,"['特伦斯·戴维斯', '泰伦斯·拉提根']","['蕾切尔·薇兹', '汤姆·希德勒斯顿', '西蒙·拉塞尔·比尔', '安·米切尔', '乔林·科伊', '卡尔·约翰逊', '哈利·海顿-佩顿', 'Sarah Kants', '奥利弗·福德·戴维斯', '芭芭拉·杰夫德', '马克·坦迪', 'Stuart McLoughlin', '尼古拉斯·阿米尔']","['剧情', '爱情']", 英语,2011-11-25(英国),7.1,18658,https://movie.douban.com/subject/5415301/
18,独自生活的人们 혼자 사는 사람들,洪成恩,['洪成恩'],"['Jeong Da-eun', 'Seo Hyun-woo', '朴政学', '孔升妍']",['剧情'], 韩语,2021-05-19(韩国),7.1,3983,https://movie.douban.com/subject/35429502/
19,自杀房间 Sala samobójców,扬·科马萨,['扬·科马萨'],"['雅酷朴·盖尔秀', '阿伽塔·库莱沙', '克日什托夫·皮耶钦斯基', '巴托茨·戈尔纳', 'Danuta Borsuk', 'Filip Bobek', 'Krzysztof Dracz', '金嘉·普雷斯', '彼得·格洛瓦茨基', 'Anna Ilczuk', '维斯瓦夫·科马萨', 'Karolina Dryzner', 'Ewelina Paszke', 'Magdalena Smalara', 'Michal Rolnicki', 'Radoslaw Krzyzowski', '葆莉娜·查布寇', '马修·纳夫罗茨基', 'Elzbieta Golinska', 'Ida Nowakowska', 'Ola Radwanska', '托马斯·舒查特', 'Dominika Markuszewska', 'Maciej Tomaszewski', '拉斐尔·福达莱', '卡罗丽娜科米内可斯库拉托维奇', '马太乌兹·科西基维奇', '克里斯托夫·切佐特']","['剧情', '同性']", 波兰语 / 英语,2011-03-04(波兰),7.0,19220,https://movie.douban.com/subject/5955975/
0,神算,许冠文,"['许冠文', '黄子华']","['许冠文', '黎明', '许冠英', '刘小慧', '方刚', '陈晓莹', '黄子华', '田启文', '陈德森']","['喜剧', '犯罪']", 粤语,1992-01-24(中国香港),7.0,5689,https://movie.douban.com/subject/1451895/
1,我爱HK 开心万岁 我愛HK 開心萬歲,钟澍佳,"['钟澍佳', '麦曦茵', '黄洋达']","['曾志伟', '梁家辉', '吴君如', '黄宗泽', '王祖蓝', '李治廷', '冯淬帆', '袁咏仪', '陈法拉', '林欣彤', '陆永', '林雪', '黎耀祥', '麦长青', '黄浩然', '敖嘉年', '金刚', '黄日华', '苗侨伟', '廖启智', '谢天华', '徐子珊', '午马', '邵美琪', '詹瑞文', '张可颐', '阮兆祥', '麦玲玲', '张坚庭', '谭耀文', '田启文', '商天娥', '吴卓羲', '吕慧仪', '汤盈盈', '郑欣宜', '八两金']","['剧情', '喜剧']", 粤语,2011-01-31(中国大陆),6.9,40365,https://movie.douban.com/subject/5318665/
2,她不知道名字的那些鸟儿 彼女がその名を知らない鳥たち,白石和弥,"['浅野妙子', '沼田真帆香留']","['苍井优', '阿部隆史', '松坂桃李', '村川绘梨', '赤堀雅秋', '赤泽セリ', '中岛书', '竹野内丰']","['剧情', '悬疑']", 日语,2017-09-07(多伦多电影节),6.9,21988,https://movie.douban.com/subject/26928304/
3,老师不是人 The Faculty,罗伯特·罗德里格兹,['凯文·威廉姆森'],"['乔丹娜·布鲁斯特', '克里·杜瓦尔', '劳拉·哈里斯', '乔什·哈奈特', '肖恩·海托西', '萨尔玛·海耶克', '法米克·詹森', '派珀·劳瑞', '克里斯托弗·麦克唐纳', '毕比·诺维尔什', '罗伯特·帕特里克', '亚瑟·雷蒙德', '乔恩·斯图尔特', '丹尼尔·冯·巴根', '伊利亚·伍德', '乔恩·亚伯拉罕斯', '莎莫·菲尼克斯', '苏珊·威利斯', '蒂娜·罗德里格斯', '丹尼·马斯特森', '威利·维金斯', 'Harry Jay Knowles', '路易斯·布莱克', '埃里克·蒋曼', '利比·维拉利', '杜恩·马丁', '凯瑟琳·威利斯', '迈克·卢茨', '道格拉斯·阿尔尼奥科斯基', 'Mardi DeLong', 'James Douglas', '杰夫·迪伦·格雷厄姆', 'Dannie Helen Loraine Knowles', 'Jarrell Jay Knowles', 'Jason May', '雷·梅伦德斯', 'Matthew Nicklaw', 'Rick Olmos', 'Brad Schreiber', 'Damian Tamburro', 'Mark Edward Walters', '海尔斯·杨']","['科幻', '悬疑', '惊悚', '恐怖']", 英语,1998-12-25(美国),6.9,15293,https://movie.douban.com/subject/1294732/
4,神勇飞虎霸王花 神勇飛虎霸王花,钱升玮,"['邝文伟', '李敏才']","['胡慧中', '冯淬帆', '吴君如', '惠英红', '罗美薇', '叶子楣', '楼南光', '黄锦燊', '刘玉婷', '火星', '梁韵蕊', '张耀华', '简慧真', '卢惠光', '陈佩珊']","['喜剧', '动作']", 粤语,1989-01-28,6.9,7389,https://movie.douban.com/subject/1305016/
5,2021去死 Death to 2021,Jack Clough,['Ben Caudell'],"['休·格兰特', '刘玉玲', '戴安·摩根', '崔茜·尤玛', '萨姆森·卡约', '乔·基瑞', '斯托卡特·詹宁', '威廉·杰克森·哈珀', '克里斯汀·米利欧缇', '尼克·穆罕默德']",['喜剧'], 英语,2021-12-27(美国),7.0,7556,https://movie.douban.com/subject/35685660/
6,夏福特 Shaft,蒂姆·斯托瑞,"['肯尼亚·巴里斯', '亚历克斯·巴诺', '欧内斯特·泰迪曼']","['塞缪尔·杰克逊', '杰西·厄舍', '理查德·朗德特里', '雷吉娜·赫尔', '亚历山德拉·希普', '马特·劳里亚', '提图斯·维里沃', '马索·曼恩', '伊萨赫·德·班克尔', '阿万·乔贾', '劳伦·维勒斯', '伊恩·卡塞尔伯里', '西尔维娅·杰弗里斯', '迈克·顿斯顿', '查尔斯·格林', '艾德丽安·C·摩尔', '乔恩·亚瑟', '肖恩·贝克', '蒂莫西·卡尔', '大卫·邓斯顿', '何塞·阿尔弗雷多·费尔南德斯', '安东尼·B·哈里斯', '德梅特里·兰德尔', '汉斯·马雷罗', '布赖希亚·马歇尔', '肖恩·麦克米伦', '本杰明·韦弗']","['喜剧', '动作', '犯罪']", 英语,2019-06-14(美国),6.8,12456,https://movie.douban.com/subject/27116384/
